chrom	start	end	gene1	gene2	gene1_strand	gene2_strand	inter_tss_distance	pair_type	orig_start	orig_end	cpg_overlap_fraction	cpg_obs_exp	cpg_gc_pct	H3K4me3_n_present	H3K4me3_frac_present	H3K4me3_mean	H3K4me3_cv	H3K27ac_n_present	H3K27ac_frac_present	H3K27ac_mean	H3K27ac_cv
chr1	1231621	1233605	SDF4	B3GALT6	-	+	205	divergent_classic	1232031	1232236	1.0	72.1	271.0	11	1.0	9.617234207166119	0.5687959319795123	9	0.8181818181818182	5.251269247088768	0.698346916514584
chr1	1307020	1309805	PUSL1	ACAP3	+	-	1013	divergent_overlapping	1308596	1309609	1.0	64.7	298.0	11	1.0	24.517993727862425	0.6296099984195648	9	0.8181818181818182	5.907886442061008	0.7128704876834157
chr1	1324263	1325255	INTS11	CPTP	-	+	68	divergent_classic	1324687	1324755	1.0	72.1	116.0	11	1.0	42.717474727291915	0.751691640947352	11	1.0	10.406106276622001	0.807315342699596
chr1	5990926	5993346	KCNAB2	NPHP4	+	-	1547	divergent_overlapping	5990926	5992473	0.7483471074380166	68.2	189.0	11	1.0	22.044798355634082	0.5925310741732028	10	0.9090909090909091	5.967303093735339	0.9099508698053299
chr1	6612726	6615681	PHF13	KLHL21	+	-	877	divergent_overlapping	6613730	6614607	1.0	67.3	310.0	11	1.0	27.893536217259953	0.6746103115157304	10	0.9090909090909091	5.239965365267673	0.49854678580493955
chr1	9943107	9943527	LZIC	NMNAT1	-	+	20	divergent_classic	9943407	9943427	1.0	68.6	39.0	11	1.0	23.426322430996667	0.4916289964361494	11	1.0	16.236056263702256	0.5464875182345251
chr1	11805405	11806509	CLCN6	MTHFR	+	-	360	divergent_overlapping	11806095	11806455	1.0	67.9	92.0	11	1.0	24.939924990742806	0.5220524199034208	11	1.0	15.15528002097256	0.47924042457392224
chr1	15526534	15527168	CASP9	DNAJC16	-	+	278	divergent_classic	15526534	15526812	0.8753943217665615	66.3	53.0	11	1.0	17.947408473464318	0.4888814970127555	10	0.9090909090909091	9.086960391813227	0.6136339796828926
chr1	16352079	16352697	FBXO42	SZRD1	-	+	94	divergent_classic	16352480	16352574	1.0	60.7	52.0	11	1.0	33.289413973902136	0.846889110338175	11	1.0	14.153694996663004	0.6192115292052012
chr1	19251390	19252214	EMC1	MRTO4	-	+	252	divergent_classic	19251552	19251804	1.0	67.2	82.0	11	1.0	42.013278308013135	0.5866900134958674	11	1.0	20.060637385590308	0.5961149882817203
chr1	19311713	19312815	AKR7A2	SLC66A1	-	+	181	divergent_classic	19312144	19312325	1.0	71.5	120.0	11	1.0	29.221193144913038	0.6239953611447282	11	1.0	9.224947220860964	0.6585770297890157
chr1	19484402	19486150	MICOS10	CAPZB	+	-	1137	divergent_overlapping	19484402	19485539	0.5383295194508009	61.8	84.0	11	1.0	34.12070688251098	0.635459219938326	11	1.0	15.806936058618076	0.6042731545724684
chr1	26900001	26900518	NUDC	GPATCH3	+	-	230	divergent_overlapping	26900237	26900467	1.0	61.7	45.0	11	1.0	37.2993511112415	0.4319440442825832	11	1.0	18.940112089057454	0.8602908542337767
chr1	31296399	31297131	SNRNP40	ZCCHC17	-	+	193	divergent_classic	31296788	31296981	1.0	59.6	55.0	11	1.0	29.853252943199895	0.568814298751351	11	1.0	12.950971926596749	0.5554547089204234
chr1	32650903	32651762	ZBTB8OS	RBBP4	-	+	238	divergent_classic	32650903	32651141	0.9545983701979045	69.5	96.0	11	1.0	25.70693957010806	0.46496719933302577	11	1.0	20.53598035231731	0.4984793773738636
chr1	32816766	32818305	S100PBP	YARS1	+	-	1265	divergent_overlapping	32816766	32818031	0.7998700454840806	68.6	104.0	11	1.0	42.22407596465674	0.6188838011603529	11	1.0	24.169368400016193	0.6965005712965355
chr1	35557079	35558233	NCDN	KIAA0319L	+	-	478	divergent_overlapping	35557472	35557950	1.0	65.5	95.0	11	1.0	33.04222755431286	0.545476167045614	11	1.0	14.008819191714498	0.5990854627867384
chr1	36155578	36156709	MAP7D1	TRAPPC3	+	-	475	divergent_overlapping	36155578	36156053	0.7595048629531388	69.2	104.0	11	1.0	28.214555723239304	0.5393933026610889	11	1.0	17.185074611496216	0.6551565089505631
chr1	37806978	37808730	C1orf122	YRDC	+	-	1230	divergent_overlapping	37806978	37808208	0.567351598173516	72.7	121.0	11	1.0	26.259884132303206	0.41036009033135346	11	1.0	9.051088349537721	0.5084618369766151
