chrom	start	end	gene1	gene2	gene1_strand	gene2_strand	inter_tss_distance	pair_type	orig_start	orig_end	cpg_overlap_fraction	cpg_obs_exp	cpg_gc_pct	H3K4me3_n_present	H3K4me3_frac_present	H3K4me3_mean	H3K4me3_cv	H3K27ac_n_present	H3K27ac_frac_present	H3K27ac_mean	H3K27ac_cv	H3K27me3_n_absent	H3K27me3_frac_absent	H3K27me3_mean	H3K27me3_cv	H3K9me3_n_absent	H3K9me3_frac_absent	H3K9me3_mean	H3K9me3_cv	meth_mean	meth_cv	meth_n_hypo	meth_frac_hypo	DNase_mean	DNase_cv	DNase_n_present	DNase_frac_present	H3K9ac_mean	H3K9ac_cv	H3K36me3_mean	H3K36me3_cv	repliseq_mean	CTCF_n_peaks	mahalanobis_dist	mahalanobis_score	cosine_sim	cosine_score	percentile_score	composite_score	composite_rank
chr9	32550561	32552586	SMIM27	TOPORS	+	-	1443	divergent_overlapping	32551143	32552586	0.974320987654321	57.8	146.0	11	1.0	34.764480181734655	0.5096198665943015	11	1.0	16.298773332206615	0.5141111240650765	11	1.0	0.49005433954408023	1.005064882097173	11	1.0	0.38235867299231946	0.604083191167003	1.200928404879541	0.60563648030885	6	1.0	0.8186145825349851	0.34619432756292196	11	1.0	18.699427823582017	0.45191184495498665	0.5377219739203406	0.4975553610108167	19.526584362139918	2	0.9573751951798877	0.9947593008624732	0.4832570509552412	0.6909489155255446	0.6055900621118012	0.786865413636193	1
chr5	154857448	154859252	CNOT8	FAXDC2	+	-	1700	divergent_overlapping	154857552	154859252	0.7505543237250555	62.9	124.0	11	1.0	32.141192117674535	0.5155835189358031	11	1.0	23.054768951375276	0.42524347761134146	11	1.0	0.32362868663888	0.725272039617409	11	1.0	0.33358918115053354	0.48355345994005594	15.245478486856076	2.269753891434686	6	0.8571428571428571	1.1548407602761932	0.28114069959933186	11	1.0	25.715191238813244	0.4550131906535285	0.26029044465460055	0.6848267943044827	6.698909830007391	0	1.097527357589992	0.9728825325302685	0.49761657080490607	0.7114797999647505	0.5848861283643892	0.7780627915108493	2
chr2	241314884	241317061	SEPTIN2	HDLBP	+	-	1962	divergent_overlapping	241315099	241317061	0.7932935231970601	64.7	155.0	11	1.0	34.84183495926558	0.4646983968934014	11	1.0	22.254119664444953	0.533070131042055	11	1.0	0.4783362463802127	0.7004559751223284	11	1.0	0.35401789326184685	0.6297022525883174	0.8116160940343445	0.5376241240353914	6	1.0	1.1761318156390375	0.33020756527487327	11	1.0	28.228790936146467	0.47873276924276514	0.48565782220534676	0.5460876064647995	18.333333333333332	1	1.0267026394936904	0.9839377736577846	0.38794307686071017	0.5546713652965969	0.7131708870839306	0.7739277851772721	3
chr2	219176224	219178289	RETREG2	CNPPD1	+	-	1882	divergent_overlapping	219176224	219178106	0.9113801452784503	60.1	150.0	11	1.0	24.858082157598233	0.43268256599726024	11	1.0	16.800505888165624	0.5856617575011586	11	1.0	0.46127036819678774	0.8718696867667524	11	1.0	0.33901394614246877	0.8009333304258779	1.2049335827873684	0.5150874020456921	6	1.0	0.8094148781767462	0.451860433781087	11	1.0	15.976426700310391	0.4381528105793771	0.3266623203870131	0.5728904050487388	10.6	2	0.9238009804918851	1.0	0.4833876170113265	0.6911355956260796	0.5450708711578277	0.7708619400351723	4
chr12	106301928	106304279	TCP11L2	CKAP4	+	-	2351	divergent_overlapping	106301928	106304279	0.4240748617609527	67.8	91.0	11	1.0	20.006987168604898	0.6426582509263042	11	1.0	8.83062368820687	0.5082818109405864	11	1.0	0.5428078769449619	0.5367752756433876	11	1.0	0.2628822258582036	0.47496325623405256	18.25238828011429	1.8314969797638885	6	0.8571428571428571	0.48429797983187134	0.41533144817051276	11	1.0	12.020127823185845	0.4189833942585458	0.40517135016971956	0.5821264273266544	17.46958740961293	1	2.002490366529889	0.8316241619468561	0.6402261752475119	0.915379466484612	0.5087593565854435	0.7598913116997591	5
chr8	90000913	90003228	DECR1	NBN	+	-	1824	divergent_overlapping	90001404	90003228	0.4859611231101511	63.5	89.0	11	1.0	21.62215606849855	0.47019667787740416	10	0.9090909090909092	10.883750505870244	0.5525668093571852	11	1.0	0.55153251780198	0.8329820140771944	11	1.0	0.4467581575153575	0.5498098274054141	2.5932184418676254	0.9067895446859018	6	1.0	0.45652426454017014	0.24022656481183413	11	1.0	17.159610716032965	0.5459942669107504	0.43521474585009917	0.40375747804628503	16.4	2	0.9903430575867889	0.9896132490579113	0.46527653637200683	0.6652408228503947	0.5069278547539416	0.7474959029044654	6
chr9	93451058	93453581	FAM120A	FAM120AOS	+	-	1897	divergent_overlapping	93451684	93453581	0.6393182718985335	65.5	166.0	11	1.0	35.476384978239565	0.471866298970061	11	1.0	12.392237875431885	0.522300302260394	11	1.0	0.4145252078845114	0.9812568512150763	11	1.0	0.3281870750864401	0.4432299350767377	1.2271015459758583	0.536214906593721	6	1.0	0.4618745382497437	0.35634259169825394	11	1.0	19.808862445094864	0.43641811726360885	0.5975580420864345	0.6036934630232398	10.421059585149953	0	1.0750086466173816	0.9763975451752118	0.39952510565968713	0.571231062092371	0.6141105271540055	0.7461614948439977	7
chr1	19484402	19486150	MICOS10	CAPZB	+	-	1137	divergent_overlapping	19484402	19485539	0.5383295194508009	61.8	84.0	11	1.0	34.12070688251098	0.635459219938326	11	1.0	15.806936058618076	0.6042731545724684	11	1.0	0.4143087375848925	0.7760954927698186	11	1.0	0.2741138291395956	0.36864695842357165	3.718383201842746	0.987086047790479	5	0.8333333333333334	0.7835155750156211	0.6405265923384699	11	1.0	22.286697572289977	0.437328121218792	0.5675131748069404	0.693232599289499	15.77126239511823	1	1.4113914344099827	0.923890554252399	0.5055143273979936	0.7227718159680183	0.5242873068960024	0.7436739585601657	8
chr14	31025105	31026850	AP4S1	STRN3	+	-	1296	divergent_overlapping	31025105	31026401	0.7232091690544412	69.4	113.0	11	1.0	36.978349158296965	0.4359989739484448	11	1.0	18.883627238470414	0.5717430976288201	11	1.0	0.4445999066489473	0.6162429578078817	11	1.0	0.3005120924441242	0.5058859025287563	15.2012646839283	2.277606012567703	6	0.8571428571428571	0.93743230965923	0.6153473153782735	11	1.0	27.338336032901736	0.3657842223990842	0.3697625131968726	0.5345881044772604	24.691021967526265	0	1.3137704324205988	0.939128507118444	0.4181737982197852	0.5978944990249496	0.6265328874024526	0.7429796187755984	9
chr10	68331173	68333049	HNRNPH3	PBLD	+	-	1876	divergent_overlapping	68331173	68333049	0.8091684434968017	62.8	128.0	11	1.0	30.827406789959003	0.42081205929193577	11	1.0	28.300772142117058	0.5837032451243243	11	1.0	0.5572880192430979	0.7929622515480254	11	1.0	0.4080116414375825	0.5754313860180472	3.2575698409300657	1.4323167149336895	5	0.8333333333333334	0.949684633575777	0.2940213238931274	11	1.0	35.388598569963385	0.42363652870008706	0.30861537722541726	0.5587375261500628	17.2	1	1.1632697680411692	0.9626206039355981	0.4088700534322035	0.5845922360603449	0.5848064978499762	0.7358678617473355	10
chr1	5990926	5993346	KCNAB2	NPHP4	+	-	1547	divergent_overlapping	5990926	5992473	0.7483471074380166	68.2	189.0	11	1.0	22.044798355634082	0.5925310741732028	10	0.9090909090909092	5.967303093735339	0.9099508698053299	10	0.9090909090909092	0.6365490567537881	0.9636610842269161	11	1.0	0.2771756439750864	0.47088197572083135	4.06858203176544	0.4704099739937324	6	1.0	1.0344100680546233	0.3364535461632407	11	1.0	9.86121704469137	0.5245355693796045	0.3495476680192791	0.5592343897503118	27.685537190082645	2	1.7070967109682817	0.8777330371750165	0.5302777317077982	0.7581779157212629	0.5210224558050645	0.7348533263279048	11
chr14	64503249	64505462	ZBTB1	ZBTB25	+	-	1502	divergent_overlapping	64503711	64505213	1.0	65.6	203.0	11	1.0	29.05177219700271	0.5706857777893543	11	1.0	22.238926472443712	0.5628321062747997	11	1.0	0.4006898709705057	0.812423057619331	11	1.0	0.3190590071651767	0.6117941656151643	0.9770008128454752	0.4286888786152367	6	1.0	0.7768357360966814	0.29034306692000333	11	1.0	28.913278489031562	0.45659622071414946	0.2876367597471768	0.7278803084768594	26.513255008284375	1	1.9232142599153939	0.8439986054720987	0.4578652226320259	0.6546443107433552	0.6588628762541806	0.7316515982881002	12
chr16	10941639	10944906	DEXI	CLEC16A	-	+	2070	divergent_classic	10942468	10944538	0.5506580961126416	66.19999999999999	96.0	11	1.0	10.629152706981056	0.4205703003550802	9	0.8181818181818182	3.0101348440935567	0.4994220493253118	11	1.0	0.4465486257748502	0.9516773773987492	11	1.0	0.32472518514199067	0.5003817925314343	19.48595577385975	1.6885709591572382	6	0.8571428571428571	0.5671601259057772	0.6099125535391474	11	1.0	5.798047069467965	0.4513652932942549	0.3223092254820105	0.45795143364740315	22.210539740842773	0	1.7929476332882022	0.8643323110898684	0.5698673992207314	0.8147822379551698	0.455327281414238	0.7267657802467697	13
