chrom	start	end	gene1	gene2	gene1_strand	gene2_strand	inter_tss_distance	pair_type	orig_start	orig_end	cpg_overlap_fraction	cpg_obs_exp	cpg_gc_pct
chr1	1231621	1233605	SDF4	B3GALT6	-	+	205	divergent_classic	1232031	1232236	1.0	72.1	271.0
chr1	1307020	1309805	PUSL1	ACAP3	+	-	1013	divergent_overlapping	1308596	1309609	1.0	64.7	298.0
chr1	1324263	1325255	INTS11	CPTP	-	+	68	divergent_classic	1324687	1324755	1.0	72.1	116.0
chr1	5990926	5993346	KCNAB2	NPHP4	+	-	1547	divergent_overlapping	5990926	5992473	0.7483471074380166	68.2	189.0
chr1	6612726	6615681	PHF13	KLHL21	+	-	877	divergent_overlapping	6613730	6614607	1.0	67.3	310.0
chr1	9943107	9943527	LZIC	NMNAT1	-	+	20	divergent_classic	9943407	9943427	1.0	68.6	39.0
chr1	10472120	10472743	PEX14	DFFA	+	-	242	divergent_overlapping	10472287	10472529	1.0	61.0	59.0
chr1	11805405	11806509	CLCN6	MTHFR	+	-	360	divergent_overlapping	11806095	11806455	1.0	67.9	92.0
chr1	15526534	15527168	CASP9	DNAJC16	-	+	278	divergent_classic	15526534	15526812	0.8753943217665615	66.3	53.0
chr1	16352079	16352697	FBXO42	SZRD1	-	+	94	divergent_classic	16352480	16352574	1.0	60.7	52.0
chr1	19251390	19252214	EMC1	MRTO4	-	+	252	divergent_classic	19251552	19251804	1.0	67.2	82.0
chr1	19311713	19312815	AKR7A2	SLC66A1	-	+	181	divergent_classic	19312144	19312325	1.0	71.5	120.0
chr1	19484402	19486150	MICOS10	CAPZB	+	-	1137	divergent_overlapping	19484402	19485539	0.5383295194508009	61.8	84.0
chr1	26900001	26900518	NUDC	GPATCH3	+	-	230	divergent_overlapping	26900237	26900467	1.0	61.7	45.0
chr1	31296399	31297131	SNRNP40	ZCCHC17	-	+	193	divergent_classic	31296788	31296981	1.0	59.6	55.0
chr1	32650903	32651762	ZBTB8OS	RBBP4	-	+	238	divergent_classic	32650903	32651141	0.9545983701979045	69.5	96.0
chr1	32816766	32818305	S100PBP	YARS1	+	-	1265	divergent_overlapping	32816766	32818031	0.7998700454840806	68.6	104.0
chr1	35557079	35558233	NCDN	KIAA0319L	+	-	478	divergent_overlapping	35557472	35557950	1.0	65.5	95.0
chr1	36155578	36156709	MAP7D1	TRAPPC3	+	-	475	divergent_overlapping	36155578	36156053	0.7595048629531388	69.2	104.0
chr1	37806978	37808730	C1orf122	YRDC	+	-	1230	divergent_overlapping	37806978	37808208	0.567351598173516	72.7	121.0
chr1	42816903	42817419	ERMAP	SVBP	+	-	276	divergent_overlapping	42817121	42817397	1.0	75.8	58.0
chr1	45010553	45011350	UROD	HECTD3	+	-	375	divergent_overlapping	45010949	45011324	1.0	70.9	78.0
chr1	45339892	45340893	TOE1	MUTYH	+	-	842	divergent_overlapping	45340051	45340893	0.41858141858141856	69.7	56.0
chr1	46301753	46303697	LRRC41	UQCRH	-	+	81	divergent_classic	46303616	46303697	0.8287037037037037	70.9	155.0
chr1	50959775	50960744	FAF1	CDKN2C	-	+	477	divergent_classic	50960267	50960744	0.6429308565531475	58.3	65.0
chr1	52055074	52056624	TXNDC12	BTF3L4	-	+	1007	divergent_classic	52055191	52056198	0.5767741935483871	63.6	39.5
chr1	52927208	52927973	ECHDC2	SCP2	-	+	63	divergent_classic	52927212	52927275	1.0	67.7	64.0
chr1	54052928	54053626	TMEM59	TCEANC2	-	+	79	divergent_classic	54053504	54053583	1.0	64.5	55.0
chr1	63593266	63594242	PGM1	ITGB3BP	+	-	311	divergent_overlapping	63593410	63593721	1.0	66.7	99.0
chr1	70205500	70205759	LRRC40	SRSF11	-	+	102	divergent_classic	70205579	70205681	1.0	67.2	28.0
chr1	77978619	77979597	FUBP1	DNAJB4	-	+	64	divergent_classic	77979110	77979174	0.8384458077709611	56.45	37.0
chr1	86914424	86915531	SELENOF	HS2ST1	-	+	210	divergent_classic	86914424	86914634	0.950316169828365	60.7	89.0
chr1	100895032	100896252	EXTL2	SLC30A7	-	+	896	divergent_classic	100895179	100896075	0.4122950819672131	64.95	26.5
chr1	111139478	111140681	CEPT1	DRAM2	+	-	725	divergent_overlapping	111139478	111140203	0.8944305901911886	66.8	95.0
chr1	111448682	111449580	ATP5PB	WDR77	+	-	393	divergent_overlapping	111448863	111449256	1.0	62.6	68.0
chr1	112618969	112620825	CAPZA1	ST7L	+	-	1021	divergent_overlapping	112619804	112620825	0.5280172413793104	61.3	76.0
chr1	117929217	117930097	GDAP2	WDR3	-	+	98	divergent_classic	117929621	117929719	1.0	64.2	73.0
chr1	145823593	145824433	POLR3C	RNF115	+	-	43	divergent_overlapping	145824052	145824095	1.0	62.7	81.0
chr1	150268199	150269580	C1orf54	APH1A	+	-	1381	divergent_overlapping	150268199	150269580	0.4395365677045619	65.7	54.0
chr1	151008259	151008616	MINDY1	PRUNE1	-	+	43	divergent_classic	151008376	151008419	1.0	68.9	42.0
chr1	151070325	151071095	CDC42SE1	GABPB2	-	+	252	divergent_classic	151070325	151070577	0.9103896103896104	58.1	47.0
chr1	154220178	154221312	UBAP2L	C1orf43	+	-	459	divergent_overlapping	154220178	154220637	0.8333333333333334	57.4	79.0
