chrom	start	end	gene1	gene2	gene1_strand	gene2_strand	inter_tss_distance	pair_type	orig_start	orig_end	cpg_overlap_fraction	cpg_obs_exp	cpg_gc_pct	H3K4me3_n_present	H3K4me3_frac_present	H3K4me3_mean	H3K4me3_cv	H3K27ac_n_present	H3K27ac_frac_present	H3K27ac_mean	H3K27ac_cv	H3K27me3_n_absent	H3K27me3_frac_absent	H3K27me3_mean	H3K27me3_cv	H3K9me3_n_absent	H3K9me3_frac_absent	H3K9me3_mean	H3K9me3_cv
chr1	1231621	1233605	SDF4	B3GALT6	-	+	205	divergent_classic	1232031	1232236	1.0	72.1	271.0	11	1.0	9.617234207166119	0.5687959319795123	9	0.8181818181818182	5.251269247088768	0.698346916514584	10	0.9090909090909091	0.722799369987551	0.9450030274244808	9	0.8181818181818182	1.4172966160351528	0.503692100038859
chr1	1307020	1309805	PUSL1	ACAP3	+	-	1013	divergent_overlapping	1308596	1309609	1.0	64.7	298.0	11	1.0	24.517993727862425	0.6296099984195648	9	0.8181818181818182	5.907886442061008	0.7128704876834157	11	1.0	0.4956688055989332	0.6474909917598329	11	1.0	0.23967257524959412	0.5886789163831547
chr1	1324263	1325255	INTS11	CPTP	-	+	68	divergent_classic	1324687	1324755	1.0	72.1	116.0	11	1.0	42.717474727291915	0.751691640947352	11	1.0	10.406106276622001	0.807315342699596	11	1.0	0.31316431713275034	0.9022450792812634	11	1.0	0.20062009276996437	0.9094633286126518
chr1	5990926	5993346	KCNAB2	NPHP4	+	-	1547	divergent_overlapping	5990926	5992473	0.7483471074380166	68.2	189.0	11	1.0	22.044798355634082	0.5925310741732028	10	0.9090909090909091	5.967303093735339	0.9099508698053299	10	0.9090909090909091	0.6365490567537881	0.9636610842269161	11	1.0	0.27717564397508637	0.4708819757208314
chr1	6612726	6615681	PHF13	KLHL21	+	-	877	divergent_overlapping	6613730	6614607	1.0	67.3	310.0	11	1.0	27.893536217259953	0.6746103115157304	10	0.9090909090909091	5.239965365267673	0.49854678580493955	11	1.0	0.34991331679181337	0.788639701917005	11	1.0	0.2079203097707244	0.5965677368186044
chr1	9943107	9943527	LZIC	NMNAT1	-	+	20	divergent_classic	9943407	9943427	1.0	68.6	39.0	11	1.0	23.426322430996667	0.4916289964361494	11	1.0	16.236056263702256	0.5464875182345251	11	1.0	0.24912989206644365	1.534436102814136	11	1.0	0.19120144129347072	1.2786019828487287
chr1	11805405	11806509	CLCN6	MTHFR	+	-	360	divergent_overlapping	11806095	11806455	1.0	67.9	92.0	11	1.0	24.939924990742806	0.5220524199034208	11	1.0	15.15528002097256	0.47924042457392224	11	1.0	0.26282436417615745	0.9498671407543826	11	1.0	0.13873019209098836	0.572516745400514
chr1	15526534	15527168	CASP9	DNAJC16	-	+	278	divergent_classic	15526534	15526812	0.8753943217665615	66.3	53.0	11	1.0	17.947408473464318	0.4888814970127555	10	0.9090909090909091	9.086960391813227	0.6136339796828926	11	1.0	0.2117205224433217	1.171398278176504	11	1.0	0.23037509578670215	0.9551063901482654
chr1	16352079	16352697	FBXO42	SZRD1	-	+	94	divergent_classic	16352480	16352574	1.0	60.7	52.0	11	1.0	33.289413973902136	0.846889110338175	11	1.0	14.153694996663004	0.6192115292052012	11	1.0	0.43419199999916125	1.082610659095906	11	1.0	0.3466476031325372	0.9440514469574353
chr1	19251390	19252214	EMC1	MRTO4	-	+	252	divergent_classic	19251552	19251804	1.0	67.2	82.0	11	1.0	42.013278308013135	0.5866900134958674	11	1.0	20.060637385590308	0.5961149882817203	11	1.0	0.5344168938881333	0.999218470235063	11	1.0	0.37737972777524237	0.7220741716473511
chr1	19311713	19312815	AKR7A2	SLC66A1	-	+	181	divergent_classic	19312144	19312325	1.0	71.5	120.0	11	1.0	29.221193144913038	0.6239953611447282	11	1.0	9.224947220860964	0.6585770297890157	11	1.0	0.37543781912949475	0.8956664169018344	11	1.0	0.23442712818205258	0.3798293057671765
chr1	19484402	19486150	MICOS10	CAPZB	+	-	1137	divergent_overlapping	19484402	19485539	0.5383295194508009	61.8	84.0	11	1.0	34.12070688251098	0.635459219938326	11	1.0	15.806936058618076	0.6042731545724684	11	1.0	0.4143087375848927	0.7760954927698184	11	1.0	0.2741138291395956	0.36864695842357165
chr1	26900001	26900518	NUDC	GPATCH3	+	-	230	divergent_overlapping	26900237	26900467	1.0	61.7	45.0	11	1.0	37.2993511112415	0.4319440442825832	11	1.0	18.940112089057454	0.8602908542337767	11	1.0	0.5013678801227591	1.0570686821956337	11	1.0	0.3806735638145023	0.5923438229762947
chr1	31296399	31297131	SNRNP40	ZCCHC17	-	+	193	divergent_classic	31296788	31296981	1.0	59.6	55.0	11	1.0	29.853252943199895	0.568814298751351	11	1.0	12.950971926596749	0.5554547089204234	11	1.0	0.33430018136874623	1.011423417089132	11	1.0	0.3545233468859589	0.5718529859702597
